Airline_ID,Name,IATA,ICAO
1317,Air Transat,TS,TSC
1322,Avialeasing Aviation Company,EC,TWN
1326,Tyrolean Airways,VO,TYR
1338,Aerolineas Galapagos (Aerogal),2K,GLG
1340,Alrosa Mirny Air Enterprise,6R,DRU
1355,British Airways,BA,BAW
1359,Biman Bangladesh Airlines,BG,BBC
1401,Belair Airlines,4T,BHP
1403,Bahamasair,UP,BHS
1406,Balkan Bulgarian Airlines,LZ,
1411,British International Helicopters,BS,BIH
1420,BF-Lento OY,,BKF
1422,Bangkok Airways,PG,BKP
1427,Blue1,KF,BLF
1431,Baltic Airlines,,BLL
1434,Bearskin Lake Air Service,JV,BLS
1436,Bellview Airlines,B3,BLV
1437,bmi,BD,BMA
1441,bmibaby,WW,BMI
1442,Bemidji Airlines,CH,BMJ
1445,British Midland Regional,,BMR
1463,Blue Panorama Airlines,BV,BPA
1466,Budapest Aircraft Services/Manx2,,BPS
1472,Bering Air,8E,BRG
1476,Brazilian Air Force,,BRS
1478,Belavia Belarusian Airlines,B2,BRU
1500,Metro Batavia,7P,BTV
1508,Berjaya Air,J8,BVT
1510,Blue Wings,QW,BWG
1523,Brit Air,DB,BZH
1531,Brussels Airlines,SN,DAT
1539,Binter Canarias,NT,IBB
1542,Blue Air,0B,JOR
1543,British Mediterranean Airways,KJ,LAJ
1548,Bulgaria Air,FB,LZB
1550,Barents AirLink,8N,NKF
1581,CAL Cargo Air Lines,5C,ICL
1607,Calima Aviacion,XG,CLI
1615,Canadian Airlines,CP,CDN
1623,Canadian North,5T,MPE
1629,Cape Air,9K,KAP
1663,Caribbean Airlines,BW,BWA
1669,Carpatair,V3,KRP
1675,Caspian Airlines,RV,CPN
1680,Cathay Pacific,CX,CPA
1682,Cayman Airways,KX,CAY
1683,Cebu Pacific,5J,CEB
1700,Central Connect Airlines,,CCG
1708,Centralwings,C0,CLW
1737,Charter Air,,CHW
1739,Chautauqua Airlines,RP,CHQ
1756,China Airlines,CI,CAL
1758,China Eastern Airlines,MU,CES
1767,China Southern Airlines,CZ,CSN
1769,China United Airlines,HR,CUA
1771,Yunnan Airlines,3Q,CYH
1781,Cimber Air,QI,CIM
1784,Cirrus Airlines,C9,RUS
1789,City Airline,CF,SDR
1790,City Connexion Airlines,G3,CIX
1792,CityJet,WX,BCY
1795,BA CityFlyer,CJ,CFE
1808,Click Airways,,CGK
1814,Coastal Air,DQ,
1821,Colgan Air,9L,CJC
1828,Comair,OH,COM
1829,Comair,MN,CAW
1843,CommutAir,C5,UCA
1844,Comores Airlines,KR,CWK
1860,Compass Airlines,CP,CPZ
1868,Condor Flugdienst,DE,CFG
1876,Consorcio Aviaxsa,6A,CHP
1879,Contact Air,C3,KIS
1881,Continental Airlines,CO,COA
1883,Continental Express,CO,
1884,Continental Micronesia,CS,CMI
1886,Conviasa,V0,VCV
1889,Copa Airlines,CM,CMP
1892,Copterline,,AAQ
1894,Corendon Airlines,,CAI
1908,Corsairfly,SS,CRL
1909,Corse-Mediterranee,XK,CCM
1923,Crest Aviation,,CAN
1925,Croatia Airlines,OU,CTN
1931,Crown Airways,,CRO
1936,Cubana de Aviación,CU,CUB
1942,Cyprus Airways,CY,CYP
